    "COUNTRY_CD","YEARWEEK","TOTAL_SALES"
    AE,201749,646205.7300000312
    AE,201750,549403.4200000266
    AE,201751,512055.87000002695
    AE,201752,928319.9699999702
    AE,201753,334497.5200000036
    AE,201801,333411.9000000019
    AE,201802,398148.88000000815
    AE,201803,361627.7400000054
    AE,201804,446344.98000002635
    AE,201805,456184.2600000227
    AE,201806,435612.37000001007
    AE,201807,461102.36000002065
    AE,201808,811717.890000011
    AE,201809,1925471.5499999141
    AE,201810,704364.0999999967
    AE,201811,338973.750000003
    AE,201812,3030777.219999993
    AE,201813,378931.6900000054
    AE,201814,487666.15000001044
AE,201815,236927.02000000043
AE,201816,216529.8099999998
AE,201817,277996.31999999896
AE,201818,295267.53999999573
AE,201819,327743.9200000012
AE,201820,529907.4000000216
AE,201821,671587.9200000393
AE,201822,939660.659999964
AE,201823,1192524.1999998693
AE,201824,951153.289999938
AE,201825,400497.24000000674
AE,201826,399617.26000000676
AE,201827,314241.3499999971
AE,201828,319411.44999999646
AE,201829,362973.3500000055
AE,201830,350453.55000000383
AE,201831,322758.40999999736
AE,201832,330408.03999999835
AE,201833,284682.21000000095
AE,201834,394023.04000000155
AE,201835,2027351.1199999955
AE,201836,658983.240000006
AE,201837,285515.85000000015
AE,201838,317005.5200000096
AE,201839,421892.48000001453
AE,201840,348736.45000000315
AE,201841,349095.4799999999
AE,201842,880439.1500000077
AE,201843,696431.1500000145
AE,201844,811068.8200000313
AE,201845,783940.3400000735
AE,201846,647293.8200000628
AE,201847,1000504.2799999721
AE,201848,907549.7399999739
AE,201849,1227843.109999864
AE,201850,1088570.8899998795
AE,201851,1009451.4999999605
AE,201852,707672.24000002
AE,201901,383188.4800000024
AE,201902,425886.39000000997
AE,201903,385766.38999999803
AE,201904,505326.430000021
AE,201905,634123.7900000246
AE,201906,376573.92000000953
AE,201907,454584.58000000555
AE,201908,468422.0300000114
AE,201909,716530.5500000438
AE,201910,474629.4200000288
AE,201911,440942.8200000118
AE,201912,453746.000000025
AE,201913,1012661.4699999812
AE,201914,276307.7900000022
AE,201915,252088.26000000126
AE,201916,275463.34000000556
AE,201917,2306369.139999917
AE,201918,1308676.4699999432
AE,201919,338662.4500000094
AE,201920,507621.0900000128
AE,201921,780434.6200000002
AE,201922,1095530.48999992
AE,201923,986522.4099999297
AE,201924,630371.2399999617
AE,201925,429076.53999998426
AE,201926,447872.7500000056
AE,201927,402022.45000000985
AE,201928,381739.12000000477
AE,201929,414047.660000005
AE,201930,451952.69000000204
AE,201931,395640.3099999976
AE,201932,332259.96000000817
AE,201933,337527.22000000847
AE,201934,539882.5199999735
AE,201935,445741.68999998405
AE,201936,408078.1299999996
AE,201937,357577.9200000017
AE,201938,560223.3299999941
AE,201939,2970370.239999897
AE,201940,569375.8499999846
AE,201941,424840.96000000124
AE,201942,412315.51000000146
AE,201943,1057748.2800000117
AE,201944,989939.130000007
AE,201945,627656.0600000313
AE,201946,646677.0000000199
AE,201947,868901.2600000256
AE,201948,933357.7999999824
AE,201949,797430.7299999616
AE,201950,678140.5099999629
AE,201951,607797.1699999613
AE,201952,435844.81999999285
AE,202001,335558.22000000195
AE,202002,404108.0499999876
AE,202003,437090.86999999423
AE,202004,442119.20999998914
AE,202005,465453.90999998414
AE,202006,371358.66000000015
AE,202007,316554.6800000025
AE,202008,87284.79000000017
AE,202009,154238.0499999999
AE,202010,228383.27000000037
AE,202011,84059.24000000006
AE,202012,31149.910000000044
AE,202013,59583.760000000366
AE,202014,92494.19
AE,202015,101624.48000000087
AE,202016,192885.04000000266
AE,202017,343156.6600000103
AE,202018,298990.41000000556
AE,202019,234667.28000000198
AE,202020,271259.57000000257
AE,202021,264346.52000000054
AE,202022,441800.2600000004
AE,202023,363080.0899999979
AE,202024,311999.45999999664
AE,202025,223245.42999999863
AE,202026,1273440.099999978
AE,202027,498805.89999999263
AE,202028,245439.36999999906
AE,202029,252588.83000000016
AE,202030,280132.7899999983
AE,202031,203417.97000000073
AE,202032,252414.79000000132
AE,202033,272210.2000000031
AE,202034,205716.62000000017
AE,202035,359695.66999999597
AE,202036,1466659.5300000005
AE,202037,1224175.570000049
AE,202038,1462621.730000063
AE,202039,3930964.2600007155
AE,202040,2442895.8100001034
AE,202041,1771160.7100000663
AE,202042,1280209.5200001323
AE,202043,3424036.1700003347
AE,202044,2998307.2400005804
AE,202045,2144753.7799998675
AE,202046,2237615.460000063
AE,202047,2825115.479999983
AE,202048,2897448.320000137
AE,202049,3829584.940000548
AE,202050,3202007.7000001096
AE,202051,2821467.4199999594
AE,202052,3330648.7100002314
AE,202101,2213515.500000062
AE,202102,1386192.8399998795
AE,202103,1147061.6799998765
AE,202104,1471889.0699999004
AE,202105,1478417.4399998798
AE,202106,1438518.0399998135
AE,202107,1598254.8299997123
AE,202108,2702502.290000108
AE,202109,4766144.780001472
AE,202110,2503690.180000231
AE,202111,1065636.0999999908
AE,202112,1407388.339999917
AE,202113,3216953.9699996724
AE,202114,2418478.7099997606
AE,202115,1536588.5799999011
AE,202116,1253445.250000069
AE,202117,2301192.989999278
AE,202118,3103711.439999965
AE,202119,1452524.8800000595
AE,202120,1033790.2100000647
AE,202121,2631887.839999489
AE,202122,2945972.7799994764
AE,202123,2801843.8299994553
AE,202124,3105936.489999534
AE,202125,2461226.1499996637
AE,202126,2633468.909999804
AE,202127,1427333.9100000537
AE,202128,1568175.9899998126
AE,202129,1512525.5699995665
AE,202130,2503718.6999998405
AE,202131,1763631.8399998923
AE,202132,2126098.510000124
AE,202133,1349165.8300000755
AE,202134,1945993.410000026
AE,202135,3590445.140000789
AE,202136,2756513.00000033
AE,202137,1536554.4599999813
AE,202138,1699672.1500001634
AE,202139,2903671.9100001305
AE,202140,5414931.819999663
AE,202141,2183422.2699998636
AE,202142,2730392.73999907
AE,202143,3637945.859999787
AE,202144,3189607.8999998616
AE,202145,3717174.439999734
AE,202146,2883312.4799997765
AE,202147,3606185.6399998376
AE,202148,4227956.860000063
AE,202149,3181402.519999601
AE,202150,2765942.9600000847
AE,202151,2439424.00000011
AE,202152,2921986.379999884
AE,202201,1749398.6899999587
AE,202202,1548757.7800000592
AE,202203,1641941.580000082
AE,202204,1889871.5700000743
AE,202205,2796692.9600000577
AE,202206,2203386.2600000505
AE,202207,1924838.9400001199
AE,202208,3113565.41999974
AE,202209,5452034.529999485
AE,202210,1793492.5600000783
AE,202211,1309493.9099999692
AE,202212,1758263.6600000565
AE,202213,3581956.839999892
AE,202214,2184505.6199999833
AE,202215,1363727.5200000142
AE,202216,1378724.869999981
AE,202217,2813330.1399999037
AE,202218,2568263.0699997926
AE,202219,1754363.120000019
AE,202220,1569642.2600000314
AE,202221,4315724.769998419
AE,202222,4662878.239999106
AE,202223,4360707.459999608
AE,202224,3472937.5799997384
AE,202225,2787549.389999819
AE,202226,2249257.330000092
AE,202227,1382500.2300000116
AE,202228,1273074.4500000663
AE,202229,1280165.2800001432
AE,202230,1972649.2400000277
AE,202231,1929489.8699999237
AE,202232,1598633.0600000634
AE,202233,1312432.8100000788
AE,202234,2293725.0300000072
AE,202235,3771212.369999177
AE,202236,3283490.3099994864
AE,202237,1781919.0800000762
AE,202238,1439808.3200000618
AE,202239,1975546.3499999475
AE,202240,2797777.709999686
AE,202241,2996920.2699997546
AE,202242,2381411.660000013
AE,202243,3573883.469999444
AE,202244,9535100.619999524
AE,202245,4514733.199998653
AE,202246,3630861.2899995265
AE,202247,3410827.1499996353
AE,202248,4074708.659999607
AE,202249,4665158.099999462
AE,202250,3655061.5999995163
AE,202251,3320846.9099996765
AE,202252,3186546.1299993545
AE,202301,2433057.3700000495
AE,202302,1851544.379999933
AE,202303,1763108.1899999494
AE,202304,497957.6300000068
AE,202305,500916.98000001
AE,202306,694391.750000019
AE,202307,540034.8400000164
AE,202308,470419.6500000129
AE,202309,436940.8800000003
AE,202310,473382.640000005
AE,202311,476289.2000000017
AE,202312,492427.7000000095
AE,202313,3561241.6700000586
AE,202314,583860.4200000004
AE,202315,497084.5600000028
AE,202316,453316.7600000009
AE,202317,517875.34999999125
AE,202318,496928.51000000135
AE,202319,435260.53999999934
AE,202320,456676.73000000697
AE,202321,592647.1300000112
AE,202322,928461.5299999901
AE,202323,711878.1800000232
AE,202324,678501.7000000172
AE,202325,625526.7400000009
AE,202326,450793.21000001166
AE,202327,469585.37000001763
AE,202328,447212.04000001686
AE,202329,618493.5900000213
AE,202330,569714.9600000038
AE,202331,567227.9900000177
AE,202332,451243.12000000663
AE,202333,455386.9700000166
AE,202334,429621.0600000107
AE,202335,501952.50000000204
AE,202336,761760.3200000197
AE,202337,509444.66000002006
AE,202338,481710.5600000013
AE,202339,576847.8999999992
AE,202340,4615795.090000157
AE,202341,1115367.2000000088
AE,202342,588569.1800000131
AE,202343,1515157.5599999356
AE,202344,884455.5900000186
AE,202345,652235.7200000068
AE,202346,652644.0000000239
AE,202347,800830.0200000306
AE,202348,1061734.1500000157
AE,202349,947367.110000021
AE,202350,757387.6399999986
AE,202351,654468.8200000268
AE,202352,514254.11000001646
AE,202353,536003.8300000095
AE,202401,535885.6800000083
AE,202402,562122.470000013
AE,202403,539457.4500000009
AE,202404,582842.8400000172
AE,202405,554509.9600000139
AE,202406,386826.5000000072
AE,202407,455369.48000000836
AE,202408,654082.1200000235
AE,202409,693403.5900000245
AE,202410,586528.7200000142
AE,202411,77000.36999999984
AM,201801,635.68
AM,201802,635.68
AM,201803,635.68
AM,201804,635.68
AM,201805,628.02
AM,201806,628.02
AM,201807,628.02
AM,201808,628.02
AM,201809,628.02
AM,201810,880.15
AM,201811,880.15
AM,201812,880.15
AM,201813,880.15
AM,201814,749.07
AM,201815,749.07
AM,201816,749.07
AM,201817,749.07
AM,201818,588.82
AM,201819,588.82
AM,201820,588.82
AM,201821,588.82
AM,201822,588.82
AM,201823,1252.22
AM,201824,1252.22
AM,201825,1252.22
AM,201826,1252.22
AM,201827,1114.47
AM,201828,1114.47
AM,201829,1114.47
AM,201830,1114.47
AM,201831,361.69
AM,201832,361.69
AM,201833,361.69
AM,201834,361.69
AM,201835,361.69
AM,201836,473.57
AM,201837,473.57
AM,201838,473.57
AM,201839,473.57
AM,201840,571.3
AM,201841,571.3
AM,201842,571.3
