"PTNR_REGIONAL_MASTER_CD","COUNTRY_CD","YEARWEEK","SALESLOCALCURRENCY","LOCALCURRENCYCONVERSIONRATE"
0,AE,202036,4385435.30999966,0.27248142
0,AE,202037,3172696.8799997014,0.27248142
0,AE,202038,3809333.6399998344,0.27248142
0,AE,202039,9117040.24000081,0.27248142
0,AE,202040,6438150.240000867,0.27248142
0,AE,202041,5506009.969999996,0.27248142
0,AE,202042,3871482.809999738,0.27248142
0,AE,202043,10032946.950000104,0.27248142
0,AE,202044,8151925.090000586,0.27248142
0,AE,202045,6474376.030000793,0.27248142
0,AE,202046,6475658.769999907,0.27248142
0,AE,202047,7823822.700001002,0.27248142
0,AE,202048,8090957.890000368,0.27248142
0,AE,202049,11610111.540000271,0.27248142
0,AE,202050,8368635.910000605,0.27248142
0,AE,202051,6793342.4800004335,0.27248142
0,AE,202052,9787656.790000672,0.27248142
0,AE,202101,6778767.530000446,0.27248142
0,AE,202102,3765182.9500000533,0.27248142
0,AE,202103,2670250.7999998815,0.27248142
0,AE,202104,3978973.3199999575,0.27248142
0,AE,202105,3873020.7499999693,0.27248142
0,AE,202106,3714848.519999783,0.27248142
0,AE,202107,4488338.77999989,0.27248142
0,AE,202108,8690346.220001604,0.27248142
0,AE,202109,9204042.860001687,0.27248142
0,AE,202110,7380599.740001266,0.27248142
0,AE,202111,2944511.890000052,0.27248142
0,AE,202112,4309596.420000035,0.27248142
0,AE,202113,8500865.020000285,0.27248142
0,AE,202114,7652219.220000466,0.27248142
0,AE,202115,4497764.100000405,0.27248142
0,AE,202116,3401731.7500004005,0.27248142
0,AE,202117,6103269.010000808,0.27248142
0,AE,202118,9871866.409999428,0.27248142
0,AE,202119,4209220.5900001675,0.27248142
0,AE,202120,2800726.070000415,0.27248142
0,AE,202121,8535920.180000497,0.27248142
0,AE,202122,8933584.790000655,0.27248142
0,AE,202123,8613023.430000452,0.27248142
0,AE,202124,8461218.37000036,0.27248142
0,AE,202125,6652838.190000236,0.27248142
0,AE,202126,7012346.540000355,0.27248142
0,AE,202127,3907016.030000066,0.27248142
0,AE,202128,4406102.800000928,0.27248142
